datetime,pos,neg,neut
2019-11-23,-0.39,-0.38,-0.43
2019-11-24,-0.41,-0.39,-0.46
2019-11-25,-0.36,-0.34,-0.35
2019-11-26,-0.36,-0.34,-0.34
2019-11-27,0.36,0.43,0.42
2019-11-28,2.24,2.38,2.28
2019-11-29,1.42,1.32,1.26
2019-11-30,0.37,0.34,0.34
