datetime,pos,neg,neut
2019-11-14,-0.63,-0.65,-0.61
2019-11-15,0.00,0.00,0.00
2019-11-16,-0.47,-0.54,-0.53
2019-11-17,-0.22,-0.31,-0.27
2019-11-18,-0.60,-0.62,-0.57
2019-11-19,-0.04,-0.06,-0.06
2019-11-20,-0.55,-0.58,-0.30
2019-11-21,0.66,0.55,0.44
2019-11-22,0.25,0.46,0.04
2019-11-23,-0.24,-0.33,-0.37
2019-11-24,-0.68,-0.71,-0.67
2019-11-25,0.52,0.45,0.63
2019-11-26,0.53,0.45,0.66
2019-11-27,1.75,1.82,1.92
2019-11-28,2.10,2.18,1.97
2019-11-29,1.07,1.03,1.05
2019-11-30,0.18,0.21,0.12
