datetime,pos,neg,neut
2019-11-20,-1.33,-1.26,-1.16
2019-11-21,0.00,0.00,0.00
2019-11-22,-1.19,-1.10,-1.02
2019-11-23,-1.07,-0.94,-0.98
2019-11-24,0.08,0.21,0.17
2019-11-25,0.00,0.02,-0.08
2019-11-26,-0.00,-0.02,0.10
2019-11-27,0.31,0.70,0.63
2019-11-28,0.55,0.55,0.62
2019-11-29,0.02,0.15,0.08
2019-11-30,-0.51,-0.40,-0.47
