datetime,good,bad,neutral
2019-11-19,2.25,118.50,4.00
2019-11-20,21.00,220.25,11.00
2019-11-21,0.00,0.00,0.00
2019-11-22,28.00,194.75,14.00
2019-11-23,218.50,382.25,46.00
2019-11-24,32.50,47.75,8.00
2019-11-25,19.00,7.25,4.00
2019-11-26,7.00,19.75,9.00
2019-11-27,1145.00,1642.00,201.00
2019-11-28,171.00,339.50,33.00
2019-11-29,66.50,44.25,17.00
2019-11-30,157.25,325.50,24.00
