datetime,good,bad,neutral
2019-11-20,2.91,0.39,0.00
2019-11-21,0.00,0.00,0.00
2019-11-22,53.73,24.48,21.00
2019-11-23,41.09,72.35,19.00
2019-11-24,195.91,387.00,198.00
2019-11-25,208.55,268.52,119.00
2019-11-26,31.91,82.17,64.00
2019-11-27,77.55,46.83,62.00
2019-11-28,248.91,118.30,127.00
2019-11-29,45.82,24.83,31.00
2019-11-30,72.91,115.35,76.00
