datetime,good,bad,neutral
2019-11-23,9.50,15.75,3.00
2019-11-24,3.50,30.50,8.00
2019-11-25,6.00,10.25,5.00
2019-11-26,32.50,6.50,10.00
2019-11-27,37.00,112.25,33.00
2019-11-28,468.00,1242.00,185.00
2019-11-29,53.00,642.50,57.00
2019-11-30,316.50,1483.75,104.00
